Refno Claim,Claim Registration Date,Repair Date,Repairing Dealer,State,Job Number,Vehicle Marketing Type,Product Id,Causal Part Number,Causal Part Name,Function Group 4 Digits,Fgrp 4 Digits Description,Chassis Number,Vehicle Registration Number,Vehicle Mileage On Claim (km),Number OfRepairs,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment,Company,Delivery Importer,Credit Date,Debit Code,Credit Period,Model_,Year
7982280,,10/08/2015,490233,QLD,1,FH13 64T,,85003217,"CYLINDER HEAD, EXCH, SPARE PART",2111,,135216,,653344,,1430.28,5939.73,0,7370.01,7370.01,,,42250,9,42248,FH13,2015
133058,,27/08/2015,93385,NSW,1,FH13 64T,,20538793,"SEALING STRIP, VALVE COVER",2116,,135241,,341427,,48.6,124.62,0,173.22,173.22,,,42250,9,42248,FH13,2015
7982526,,12/08/2015,79129,VIC,2,FH13 64T,,20910962,"EXHAUST MANIFOLD, FRONT AND REAR",2515,,135471,,490752,,233.91,115.71,160,509.62,509.62,#DIV/0!,,42250,9,42248,FH13,2015
1202209,,28/08/2015,691188,SA,1,FH13 64T,,21351717,"INJECTOR SLEEVE, SPARE PART KIT",2119,,135521,,501090,,1378.6,485.6,0,1864.2,1864.2,3.185125,,42250,9,42248,FH13,2015
130161,,28/08/2015,92767,WA,2,FH13 64T,,21368390,"OIL PAN, PLASTIC",2171,,135556,,701166,,207.4,2038.92,0,2246.32,2246.32,#DIV/0!,,42250,9,42248,FH13,2015
130161,,28/08/2015,92767,WA,3,FH13 64T,,21042447,"OIL LEVEL SENSOR, OIL LEVEL & TEMP",2846,,135556,,701166,,109.8,0,0,109.8,109.8,#DIV/0!,,42250,9,42248,FH13,2015
7983254,,25/08/2015,630208,NSW,1,FH13 64T,,21302639,"PRESSURE SENSOR, FUEL/OIL",2846,,135576,,459446,,111.6,203.24,0,314.84,314.84,#DIV/0!,,42250,9,42248,FH13,2015
7983563,,27/08/2015,488428,QLD,1,FH13 64T,,20981227,"FAN, ER175 + TR750KSR",2631,,136532,,596733,,260,1476.57,0,1736.57,1736.57,#DIV/0!,,42250,9,42248,FH13,2015
7983393,,28/08/2015,766085,NSW,4,FH13 64T,,85139619,PRESSURE SENSOR,2846,,136564,,621585,,142.38,178.41,0,320.79,320.79,#DIV/0!,,42250,9,42248,FH13,2015
7983393,,28/08/2015,766085,NSW,2,FH13 64T,,22429386,OIL HOSE,4319,,136564,,621585,,162.72,184.72,0,347.44,347.44,#DIV/0!,,42250,9,42248,FH13,2015
2003894,,25/08/2015,880625,VIC,3,FH13 64T,,21818731,"EXHAUST BRAKE, CLOSED LOOP",2531,,136663,,421890,,170.1,1553.64,0,1723.74,1723.74,#DIV/0!,,42250,9,42248,FH13,2015
7981509,,6/07/2015,92197,SA,2,FH13 64T,,20508112,"EXHAUST MANIFOLD, WITH TURBO FLANGE",2511,,136703,,366544,,247.36,179.12,344.55,771.03,771.03,#DIV/0!,,42250,9,42248,FH13,2015
416190,,26/08/2015,542457,WA,1,FH13 64T,,21634024,"PRESSURE SENSOR, EXHAUST PRESSURE",2846,,136720,,172989,,182.25,224.37,0,406.62,406.62,,,42250,9,42248,FH13,2015
7983392,,25/08/2015,762478,NSW,1,FH13 64T,,21479276,"BELT TENSIONER, 10K, D=74, L=90, T=37NM",2634,,136822,,361436,,170.64,457.13,0,627.77,627.77,,,42250,9,42248,FH13,2015
7983392,,25/08/2015,762478,NSW,2,FH13 64T,,1068253,"UNIT, C2060",4516,,136822,,361436,,149.32,311.34,0,460.66,460.66,,,42250,9,42248,FH13,2015
7983366,,17/08/2015,93351,QLD,1,FH13 64T,,21479276,"BELT TENSIONER, 10K, D=74, L=90, T=37NM",2634,,136880,,412270,,118.31,384.8,0,503.11,503.11,,,42250,9,42248,FH13,2015
130134,,28/08/2015,92767,WA,1,FH13 64T,,20545485,"DIAPHRAGM, DIFF. LOCK",4684,,137174,,443012,,73.2,68.3,0,141.5,141.5,,,42250,9,42248,FH13,2015
7983564,,1/09/2015,488428,QLD,1,FH13 64T,,21422765,"BELT TENSIONER, 10K- D=74- L=95- T=43N.M",2634,,137335,,400331,,62.4,262.44,0,324.84,324.84,,,42250,9,42248,FH13,2015
1202229,,20/08/2015,691188,SA,3,FH13 64T,,21818731,"EXHAUST BRAKE, CLOSED LOOP",2531,,137340,,339420,,219.6,1579.38,0,1798.98,1798.98,,,42250,9,42248,FH13,2015
4703235,,27/08/2015,480274,NSW,1,FH13 64T,,20993930,"TURBOCHARGER, HX555W-D98K68RAV",2551,,137422,,440063,,0,0,2926.9,2926.9,2926.9,,,42250,9,42248,FH13,2015
416226,,10/08/2015,542457,WA,2,FH13 64T,,20508112,"EXHAUST MANIFOLD, WITH TURBO FLANGE",2511,,137481,,333300,,315.9,583.05,584.7,1483.65,1483.65,,,42250,9,42248,FH13,2015
7983452,,29/08/2015,488428,QLD,4,FH13A64T,,21634024,"PRESSURE SENSOR, EXHAUST PRESSURE",2846,,200066,,445505,,62.4,224.37,0,286.77,286.77,,,42250,9,42248,FH13,2015
7983363,,19/08/2015,93351,QLD,1,FH13A64T,,22219284,"SENSOR, NOX 900MM, POST-SCR",2846,,200093,,266339,,86.04,686.87,0,772.91,772.91,,,42250,9,42248,FH13,2015
4803155,,28/08/2015,396485,VIC,5,FH13A64T,,20541940,"SEALING STRIP, OIL PAN PLASTIC",2172,,200097,,239275,,115.2,51.47,0,166.67,166.67,,,42250,9,42248,FH13,2015
4803155,,28/08/2015,396485,VIC,4,FH13A64T,,22095518,"OIL FILTER HOUSING, THERMAL MANAGEMENT",2222,,200097,,239275,,172.8,1306.33,0,1479.13,1479.13,,,42250,9,42248,FH13,2015
15247,,16/07/2015,601571,SA,1,FEE7 64R,,21567736,"SENSOR, NOX 600 MM",2846,,616353,,85767,,231.63,687.91,0,919.54,919.54,,,42215,9,42186,FEE7,2015
129490,,11/06/2015,92767,WA,1,FEE7 64R,,21314450,"CONTROL UNIT, TRANSMISSION ECU 3000V",4376,,640289,,0,,0,0,10867.33,10867.33,10867.33,,,42222,9,42217,FEE7,2015
129388,,16/06/2015,92767,WA,1,FEE7 64R,,21306439,"BRACKET, FAN BRACKET",2639,,652760,,39073,,512.4,2342.81,0,2855.21,2855.21,,,42215,9,42186,FEE7,2015
