Card,Merchant,Merchant Industry,Industry Description,Date,Trans Amt,Balance
1001,,7841,Antique Reproductions,02/03/12 06:02:32,6.83,4778
1001,,5451,"Watch, Clock, Jewelry, and Silverware Stores",02/03/12 06:03:20,66.8,4711.2
1001,,8241,"Recreational and Utility Trailers, Camp Dealers",02/03/12 06:05:15,13.69,4697.51
1001,,8734,"Telecommunication service including local and long distance calls, credit card calls, calls through use of magneticstrip reading telephones and fax services",02/03/12 06:12:42,0.89,4696.62
1001,,5399,Motor Home Dealers,02/03/12 06:13:41,191.25,4505.37
1001,,6300,"Bands. Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)",02/03/12 06:13:50,29.99,11975.38
1001,,4829,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",02/03/12 06:14:15,2.58,11972.8
1001,,7538,Artist’s Supply and Craft Shops,02/03/12 06:16:18,65.34,11907.46
1001,,5948,Business and Secretarial Schools,02/03/12 06:18:07,4.49,11902.97
1001,,5714,Carpet and Upholstery Cleaning,02/03/12 06:24:23,289.11,11613.86
1001,,5961,"Furniture, Furniture Repair, and Furniture Refinishing",02/03/12 06:44:59,1,11612.86
1001,,7033,Paint Shops - Automotive,02/03/12 06:47:36,10,11602.86
1001,,7033,"Stationery, Office Supplies, Printing, and Writing Paper",02/03/12 06:51:12,2,11600.86
1001,,7631,Car Rental Companies ( Not Listed Below),02/03/12 06:54:23,25,11575.86
1001,,5021,"Management, Consulting, and Public Relations Services",02/03/12 06:56:57,16.98,11558.88
1001,,7513,Bowling Alleys,02/03/12 07:17:05,25.39,11533.49
1001,,7361,Political Organizations,02/03/12 07:25:21,25.59,11507.9
1001,,5993,Plumbing and Heating Equipment and Supplies,02/03/12 07:25:38,1096.04,10411.86
1001,,5451,Furriers and Fur Shops,02/03/12 07:49:08,2.99,10408.87
1001,,5699,Miscellaneous and Specialty Retail Stores,02/03/12 07:54:23,155.4,10253.47
1001,,7298,Direct Marketing - Continuity/Subscription Merchant,02/03/12 08:02:28,40,10213.47
1001,,7997,Repair Shops and Related Services - Miscellaneous,02/03/12 08:04:06,77.7,10135.77
1001,,5261,"Package Stores - Beer, Wine, and Liquor",02/03/12 08:12:04,9.99,10125.78
1001,,5735,Computer Software Stores,02/03/12 08:12:30,63.93,10061.85
1001,,5943,Wrecking and Salvage Yards,02/03/12 08:19:44,5.64,10056.21
1001,,8211,Automobile and Truck Dealers (Used Only),02/03/12 08:20:04,60.83,9995.38
1001,,9702,Bail and Bond Payments,02/03/12 08:24:01,89.99,9905.39
1001,,5533,Snowmobile Dealers,02/03/12 08:27:39,1.52,9903.87
1001,,7311,Furriers and Fur Shops,02/03/12 08:30:43,48,9855.87
1001,,7278,Correspondence Schools,02/03/12 08:47:55,34.97,9820.9
1002,,9405,Laundry - Family and Commercial,02/03/12 06:01:26,34,2416
1002,,9700,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",02/03/12 06:14:53,9,2407
1002,,5422,"Furniture, Furniture Repair, and Furniture Refinishing",02/03/12 06:18:07,51.03,2355.97
1002,,5994,Government Services ( Not Elsewhere Classified),02/03/12 06:33:10,36.45,2319.52
1002,,7339,Petroleum and Petroleum Products,02/03/12 06:48:24,3.69,2315.83
1002,,5950,"Pet Shops, Pet Foods, and Supplies Stores",02/03/12 06:54:48,1,2314.83
1002,,5712,Trailer Parks and Camp Grounds,02/03/12 07:07:51,131.29,9183.54
1002,,5193,Men’s Women’s and Children’s Uniforms and Commercial Clothing,02/03/12 07:23:24,16,9167.54
