Repairing Dealer,Claim Registration Date,Total Labor Payment Local,Total Material Payment Local,Total Other Payment Local,Total Payment Local,Total_Payment
490233.0,,1430.28,5939.73,0.0,7370.01,7370.01
93385.0,,48.6,124.62,0.0,173.22,173.22
79129.0,,233.91,115.71,160.0,509.62,509.62
691188.0,,1378.6,485.6,0.0,1864.2,1864.2
92767.0,,207.4,2038.92,0.0,2246.32,2246.32
92767.0,,109.8,0.0,0.0,109.8,109.8
630208.0,,111.6,203.24,0.0,314.84,314.84
488428.0,,260.0,1476.57,0.0,1736.57,1736.57
766085.0,,142.38,178.41,0.0,320.79,320.79
766085.0,,162.72,184.72,0.0,347.44,347.44
880625.0,,170.1,1553.64,0.0,1723.74,1723.74
92197.0,,247.36,179.12,344.55,771.03,771.03
542457.0,,182.25,224.37,0.0,406.62,406.62
762478.0,,170.64,457.13,0.0,627.77,627.77
762478.0,,149.32,311.34,0.0,460.66,460.66
93351.0,,118.31,384.8,0.0,503.11,503.11
92767.0,,73.2,68.3,0.0,141.5,141.5
488428.0,,62.4,262.44,0.0,324.84,324.84
691188.0,,219.6,1579.38,0.0,1798.98,1798.98
480274.0,,0.0,0.0,2926.9,2926.9,2926.9
542457.0,,315.9,583.05,584.7,1483.65,1483.65
488428.0,,62.4,224.37,0.0,286.77,286.77
93351.0,,86.04,686.87,0.0,772.91,772.91
396485.0,,115.2,51.47,0.0,166.67,166.67
396485.0,,172.8,1306.33,0.0,1479.13,1479.13
601571.0,,231.63,687.91,0.0,919.54,919.54
92767.0,,0.0,0.0,10867.33,10867.33,10867.33
92767.0,,512.4,2342.81,0.0,2855.21,2855.21
396485.0,,3502.08,12393.77,4485.45,20381.3,20381.3
70287.0,,228.69,923.2,15.62,1167.51,1167.51
92767.0,,244.0,687.91,0.0,931.91,931.91
601570.0,,327.01,686.87,0.0,1013.88,1013.88
542457.0,,7897.5,24860.21,0.0,32757.71,32757.71
85993.0,,693.45,9829.16,0.0,10522.61,10522.61
92767.0,,12.2,85.37,0.0,97.57,97.57
92767.0,,73.2,637.77,0.0,710.97,710.97
488428.0,,582.4,3279.47,0.0,3861.87,3861.87
542457.0,,1057.05,3771.5,0.0,4828.55,4828.55
93351.0,,247.36,237.03,330.0,814.39,814.39
92767.0,,1329.8,331.73,0.0,1661.53,1661.53
92767.0,,3159.8,6920.96,2737.41,12818.17,12818.17
92767.0,,231.8,686.87,0.0,918.67,918.67
70287.0,,1187.01,6111.98,0.0,7298.99,7298.99
766085.0,,2217.06,8162.16,0.0,10379.22,10379.22
766085.0,,50.85,178.41,0.0,229.26,229.26
691188.0,,73.2,224.37,0.0,297.57,297.57
542457.0,,60.75,178.41,0.0,239.16,239.16
880625.0,,170.1,178.41,0.0,348.51,348.51
880625.0,,218.7,178.41,0.0,397.11,397.11
880625.0,,170.1,1621.45,0.0,1791.55,1791.55
93351.0,,215.11,224.37,0.0,439.48,439.48
542457.0,,170.1,187.51,0.0,357.61,357.61
542457.0,,170.1,524.75,0.0,694.85,694.85
691188.0,,0.0,0.0,336.17,336.17,336.17
92197.0,,64.53,519.97,0.0,584.5,584.5
92197.0,,408.68,273.38,0.0,682.06,682.06
92197.0,,43.02,178.41,0.0,221.43,221.43
92767.0,,109.8,447.3,0.0,557.1,557.1
92767.0,,73.2,637.77,0.0,710.97,710.97
92767.0,,122.0,637.77,0.0,759.77,759.77
92767.0,,61.0,116.77,0.0,177.77,177.77
92767.0,,73.2,112.94,0.0,186.14,186.14
396485.0,,2615.04,2099.81,0.0,4714.85,4714.85
396485.0,,172.8,1309.59,0.0,1482.39,1482.39
396485.0,,69.12,192.4,0.0,261.52,261.52
92197.0,,-129.06,0.0,0.0,-129.06,-129.06
92197.0,,0.0,-25.88,0.0,-25.88,-25.88
788051.0,,227.7,202.37,375.0,805.07,805.07
93385.0,,48.6,124.62,0.0,173.22,173.22
93385.0,,170.1,184.72,0.0,354.82,354.82
92767.0,,329.4,184.72,0.0,514.12,514.12
19053.0,,2516.4,11127.33,172.05,13815.78,13815.78
880625.0,,218.7,686.87,0.0,905.57,905.57
880625.0,,97.2,108.78,0.0,205.98,205.98
93385.0,,303.75,46.57,0.0,350.32,350.32
93385.0,,194.4,1289.77,0.0,1484.17,1484.17
93385.0,,72.9,262.44,0.0,335.34,335.34
93385.0,,60.75,244.09,0.0,304.84,304.84
93385.0,,48.6,68.3,0.0,116.9,116.9
93385.0,,97.2,160.43,0.0,257.63,257.63
691188.0,,61.0,178.41,0.0,239.41,239.41
691188.0,,158.6,406.48,0.0,565.08,565.08
691188.0,,97.6,13.31,0.0,110.91,110.91
691188.0,,146.4,178.41,0.0,324.81,324.81
691188.0,,122.0,98.12,0.0,220.12,220.12
93385.0,,24.3,224.37,0.0,248.67,248.67
93385.0,,182.25,178.41,0.0,360.66,360.66
93385.0,,145.8,184.72,0.0,330.52,330.52
92767.0,,122.0,203.24,0.0,325.24,325.24
542457.0,,315.9,525.21,584.7,1425.81,1425.81
93385.0,,133.65,708.19,0.0,841.84,841.84
92197.0,,-96.79,0.0,0.0,-96.79,-96.79
92197.0,,204.34,1062.42,0.0,1266.76,1266.76
880625.0,,291.6,1090.59,0.0,1382.19,1382.19
93351.0,,129.06,224.37,0.0,353.43,353.43
93351.0,,161.32,1464.28,0.0,1625.6,1625.6
93351.0,,0.0,178.41,107.55,285.96,285.96
691188.0,,24.4,224.37,0.0,248.77,248.77
691188.0,,207.4,406.48,0.0,613.88,613.88
691188.0,,61.0,203.24,0.0,264.24,264.24
